Date,Open,High,Low,Close,PP,R1,S1,R2,S2,R3,S3,R4,S4,R5,S5
2010-03-16,5128.95,5209.25,5125.7,5198.1,5177.683333333333,5229.666666666667,5146.116666666667,5261.233333333334,5094.133333333333,5313.216666666667,5062.566666666667,5365.200000000001,5031.0,5417.183333333334,4999.433333333334
2010-03-17,5198.45,5260.5,5177.15,5231.9,5223.183333333333,5269.216666666667,5185.866666666667,5306.533333333334,5139.833333333333,5352.5666666666675,5102.516666666666,5398.6,5065.199999999999,5444.633333333335,5027.883333333333
2010-03-18,5232.55,5255.65,5214.4,5245.9,5238.65,5262.9,5221.65,5279.9,5197.4,5304.15,5180.4,5328.4,5163.4,5352.65,5146.4
2010-03-19,5246.8,5269.95,5237.1,5262.8,5256.616666666666,5276.133333333331,5243.283333333332,5289.466666666665,5223.766666666666,5308.983333333331,5210.4333333333325,5328.499999999996,5197.1,5348.016666666663,5183.766666666665
2010-03-22,5260.95,5260.95,5187.05,5205.2,5217.733333333334,5248.416666666667,5174.516666666667,5291.633333333333,5143.833333333334,5322.316666666667,5100.616666666668,5353.0,5057.4000000000015,5383.683333333334,5014.183333333334
2010-03-23,5205.85,5243.6,5193.4,5225.3,5220.766666666666,5248.133333333333,5197.9333333333325,5270.966666666667,5170.566666666666,5298.333333333334,5147.733333333332,5325.700000000001,5124.899999999998,5353.0666666666675,5102.066666666664
2010-03-25,5225.3,5267.3,5202.95,5260.4,5243.55,5284.150000000001,5219.8,5307.900000000001,5179.2,5348.500000000001,5155.45,5389.100000000002,5131.700000000001,5429.700000000001,5107.950000000001
2010-03-26,5260.55,5293.75,5260.55,5282.0,5278.766666666666,5296.983333333333,5263.783333333333,5311.966666666666,5245.566666666667,5330.1833333333325,5230.583333333333,5348.399999999998,5215.5999999999985,5366.616666666665,5200.616666666665
2010-03-29,5283.9,5329.55,5242.15,5302.85,5291.516666666667,5340.883333333335,5253.4833333333345,5378.916666666668,5204.116666666667,5428.283333333336,5166.083333333334,5477.650000000005,5128.050000000001,5527.01666666667,5090.016666666668
2010-03-30,5302.95,5325.0,5251.35,5262.45,5279.599999999999,5307.8499999999985,5234.199999999999,5353.249999999999,5205.95,5381.499999999998,5160.549999999999,5409.749999999998,5115.15,5437.999999999996,5069.749999999998
